Column 1,item_id,stem,option_a,fb_a,option_b,fb_b,option_c,fb_c,option_d,fb_d,correct,rationale,rationale_img,subject,topic,difficulty,marks,instant_id,timed_id
,,,,,,,,,,,,,,,,,,,
,GP-S0-1,"A nurse keeps her promises, stays within the agreed scope of care, and fulfils commitments to patients. This demonstrates the ethical principle of:",Fidelity,"Correct – Fidelity means faithfulness to commitments and responsibilities, such as keeping promises.",Autonomy,Incorrect – Autonomy is about the patient’s right to make decisions.,Veracity,"Incorrect – Veracity refers to truth-telling, not fulfilling promises.",,,A,Fidelity = faithfulness to professional responsibilities and promises.,,FUND,Fundamentals,Easy,,,GP-F-T0
,GP-S0-2,Which patient scenario demonstrates the principle of justice in nursing care?,Giving all patients identical treatments,"Incorrect – Justice is not about treating everyone the same, but fairly.","Providing the same quality of care regardless of age, gender, or financial status",Correct – Justice ensures fairness and equity.,Allowing patients to make their own choices,Incorrect – That reflects autonomy.,,,B,Justice means fairness and equity in care delivery.,,FUND,Fundamentals,Easy,,,GP-F-T0
,GP-S0-3,A patient refuses a recommended surgery. The nurse explains the benefits and risks but respects the patient’s choice. This demonstrates:,Fidelity,"Incorrect – Fidelity is about keeping commitments, not decision-making.",Autonomy,Correct – Autonomy is the patient’s right to make informed healthcare decisions.,Beneficence,"Incorrect – Beneficence means acting in the patient’s best interest, which may conflict with their choice.",,,B,Autonomy supports the patient’s right to make informed healthcare decisions.,,FUND,Fundamentals,Easy,,,GP-F-T0
,GP-S0-4,A nurse truthfully explains a medication’s possible side effects before administration. This reflects the ethical principle of:,Autonomy,Incorrect – Autonomy is supported but this is not the principle.,Veracity,Correct – Veracity is truth-telling to help patients make informed decisions.,Fidelity,Incorrect – Fidelity relates to fulfilling commitments.,,,B,Veracity is truth-telling to help patients make informed choices.,,FUND,Fundamentals,Easy,,,GP-F-T0
,GP-S0-5,A patient with diabetic ketoacidosis is admitted. The nurse explains that the condition could have been prevented with consistent insulin use. This relates to which concept?,Non-maleficence,"Incorrect – Non-maleficence means avoiding harm, not treatment adherence.",Adherence to treatment,Correct – Consistent insulin use prevents complications.,Primary prevention,Incorrect – Primary prevention occurs before a disease develops.,,,B,Adherence prevents complications like DKA in known diabetics.,,MED,Medicine,Moderate,,,GP-F-T0
,GP-S0-6,A primigravida at 10 weeks asks when darkening of the areola is most likely to occur. The nurse responds that this is more noticeable:,In the first 4 weeks,Incorrect – Tenderness/tingling more common at this stage.,At delivery,Incorrect – Pigmentation is already well established before delivery.,After 8–12 weeks of pregnancy,Correct – Areolar pigmentation is noticeable in late first trimester.,,,C,Areolar pigmentation becomes obvious after 8–12 weeks of pregnancy.,,MID,Midwifery,Easy,,,GP-F-T0
,GP-S0-7,"In managing a patient’s sleep problem, the nurse first:",Turns off all lights,"Incorrect – Supportive, but not the first step.",Opens the windows for fresh air,"Incorrect – Comforting, but secondary.",Identifies the cause of the insomnia,Correct – Addressing the underlying cause is priority.,,,C,Addressing the cause of insomnia allows targeted interventions.,,MHN,Mental Health,Easy,,,GP-F-T0
,GP-S0-8,A nurse uses Doderlein’s bacilli as an example of:,A pathogenic bacterium,Incorrect – They are not harmful bacteria.,A cause of urinary tract infection,Incorrect – They do not cause UTIs.,A beneficial organism maintaining vaginal pH,Correct – They maintain acidity to protect against pathogens.,,,C,"Lactobacilli keep vaginal pH acidic, protecting against infection.",,MED,Medicine,Easy,,,GP-F-T0
,GP-S0-9,A patient with a terminal illness is calm and focused on making funeral arrangements. This behaviour reflects which stage of grief?,Depression,"Incorrect – Shows sadness and withdrawal, not calmness.",Bargaining,Incorrect – Involves seeking more time or reprieve.,Acceptance,Correct – Acceptance is marked by calmness and preparation.,,,C,Acceptance shows calm preparation for death.,,MHN,Mental Health,Easy,,,GP-F-T0
